vehicle_id,start_ts,end_ts,start_battery,end_battery,duration_minutes,ignition_state
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 02:25:45.002000+00:00,2023-01-01 04:26:55.002000+00:00,61.9,96.8,121.2,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 10:39:20.002000+00:00,2023-01-01 11:54:47.002000+00:00,10.5,61.1,75.4,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-02 01:07:38.002000+00:00,2023-01-02 03:25:03.020000+00:00,27.8,100.0,137.4,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-04 05:59:32.020000+00:00,2023-01-04 07:31:34.009000+00:00,31.7,80.7,92.0,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-05 23:52:04.031000+00:00,2023-01-06 02:36:04.011000+00:00,25.4,100.0,164.0,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 06:09:32.011000+00:00,2023-01-06 06:19:49.002000+00:00,46.2,86.2,10.3,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-07 05:33:08.002000+00:00,2023-01-07 07:46:24.002000+00:00,20.3,100.0,133.3,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-10 01:54:49.002000+00:00,2023-01-10 04:38:24.040000+00:00,60.0,100.0,163.6,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-10 21:21:07.002000+00:00,2023-01-10 22:59:57.020000+00:00,64.7,90.1,98.8,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 05:36:38.029000+00:00,2023-01-11 05:49:05.002000+00:00,5.4,20.3,12.4,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 06:25:48.002000+00:00,2023-01-11 08:23:01.007000+00:00,13.7,90.5,117.2,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 23:49:52.033000+00:00,2023-01-12 02:12:07.027000+00:00,67.8,92.9,142.2,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-12 06:47:46.029000+00:00,2023-01-12 07:09:24.002000+00:00,9.8,95.6,21.6,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-14 06:07:04.002000+00:00,2023-01-14 06:33:17.002000+00:00,6.2,85.4,26.2,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-15 03:55:25.002000+00:00,2023-01-15 04:49:14.002000+00:00,38.0,71.7,53.8,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-15 09:40:56.117000+00:00,2023-01-15 10:17:33.166000+00:00,10.5,50.1,36.6,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-15 22:16:36.016000+00:00,2023-01-16 00:50:18.127000+00:00,32.1,100.0,153.7,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-16 21:57:06.002000+00:00,2023-01-17 01:13:23.020000+00:00,56.0,99.6,196.3,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-17 08:04:05.020000+00:00,2023-01-17 09:01:01.006000+00:00,4.7,55.2,56.9,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-18 01:45:24.151000+00:00,2023-01-18 02:46:53.230000+00:00,23.9,81.5,61.5,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-18 05:58:16.281000+00:00,2023-01-18 06:33:20.370000+00:00,44.7,55.2,35.1,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-18 23:04:35.002000+00:00,2023-01-19 01:22:01.033000+00:00,29.0,83.5,137.4,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-19 06:53:43.011000+00:00,2023-01-19 09:31:38.006000+00:00,10.1,100.0,157.9,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-19 22:02:07.020000+00:00,2023-01-19 23:19:13.002000+00:00,87.0,100.0,77.1,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-20 22:32:45.031000+00:00,2023-01-21 00:59:12.033000+00:00,38.4,94.1,146.5,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-21 05:55:49.100000+00:00,2023-01-21 06:26:16.002000+00:00,10.9,84.3,30.4,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-22 02:13:51.020000+00:00,2023-01-22 04:08:28.018000+00:00,34.5,92.1,114.6,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-22 21:49:15.171000+00:00,2023-01-22 23:35:47.420000+00:00,10.1,90.1,106.5,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-23 22:59:30.007000+00:00,2023-01-24 01:19:04.011000+00:00,5.4,90.9,139.6,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-24 07:30:06.011000+00:00,2023-01-24 09:22:59.029000+00:00,16.0,90.9,112.9,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-26 01:33:01.002000+00:00,2023-01-26 02:28:10.002000+00:00,29.0,100.0,55.2,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-27 00:40:31.011000+00:00,2023-01-27 02:23:41.020000+00:00,61.9,91.3,103.2,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-27 07:54:52.011000+00:00,2023-01-27 09:49:06.006000+00:00,13.7,90.9,114.2,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-28 02:06:36.015000+00:00,2023-01-28 04:20:54.002000+00:00,65.4,92.5,134.3,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-28 11:47:18.011000+00:00,2023-01-28 12:45:45.002000+00:00,5.0,34.5,58.4,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-29 01:02:40.011000+00:00,2023-01-29 03:15:24.002000+00:00,31.7,97.6,132.7,1
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-30 21:39:39.100000+00:00,2023-01-30 23:59:29.011000+00:00,4.3,73.7,139.8,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-01 20:09:00+00:00,2021-09-01 21:22:15.005000+00:00,81.5,101.0,73.3,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-01 21:38:47.002000+00:00,2021-09-01 22:11:03.029000+00:00,80.3,104.0,32.3,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 00:11:40.002000+00:00,2021-09-02 01:35:08.049000+00:00,65.4,107.0,83.5,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 01:41:20.011000+00:00,2021-09-02 02:37:45.002000+00:00,63.9,102.0,56.4,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 15:01:41+00:00,2021-09-02 15:02:06.010000+00:00,37.6,106.0,0.4,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 15:13:28.029000+00:00,2021-09-02 16:17:40.002000+00:00,29.0,83.5,64.2,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 16:22:50.011000+00:00,2021-09-02 17:59:10.029000+00:00,81.5,109.0,96.3,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 18:13:38.002000+00:00,2021-09-02 18:31:59.036000+00:00,77.6,110.0,18.4,1
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 20:33:55.011000+00:00,2021-09-02 21:08:57.002000+00:00,57.6,80.0,35.0,1
